one-shot(10x10),PCA-42,Prioritized Planning-42,Conflict Based Search-42,,,,PCA-42,
Time/ticks,203,118,None,,,,N0 30 ,274
,,,,,,,N0 50 ,195
one-shot(10x10),PCA-20,Prioritized Planning-20,Conflict Based Search-20,,,,N0 60,187
Time/ticks,122,52,None,,,,N0 80,181
,,,,,,,N0 100,203
one-shot(10x10),PCA-10,Prioritized Planning-10,Conflict Based Search-10,,,,N0 200,205
Time/ticks,60,40,None,,,,,
,,,,,,,,
MAP_SIZE-10\PODS-42\ROBS-30\STATIONS-4,,,,,,,,
限时吞吐量,Deliveries-PCA,Throughput-PCA (deliveries/tick),calculation_time(CPU)-PCA,Deliveries-PP,Throughput-PP (deliveries/tick),calculation_time(CPU)-PP,,
500,143,0.284,2.93,263,0.526,9.27,,
Average,48.80546075,,,28.37108954,,,,
,,,,,,,,
MAP_SIZE-20\PODS-165\ROBS-120\STATIONS-8,,,,,,,,
限时吞吐量,Deliveries-PCA,Throughput-PCA (deliveries/tick),calculation_time(CPU)-PCA,Deliveries-PP,Throughput-PP (deliveries/tick),calculation_time(CPU)-PP,,
500,270,0.54,21.34,517,1.034,117.02,,
Average,12.65229616,,,4.418048197,,,,
